url,description
https://campusinvolvement.umich.edu/late-night-programs?page=2,"Date: Monday, March 14"
https://campusinvolvement.umich.edu/late-night-programs?page=2,Time: 6-8pm
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
Office Hours: Monday-Friday, 8am-5pm"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
2202 Pierpont Commons"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
2101 Bonisteel Blvd."
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
530 S. State Street"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
Ann Arbor MI 48109-1308"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
Office Hours: Monday-Friday, 8am-5pm"
https://campusinvolvement.umich.edu/late-night-programs?page=2,Location: The Michigan Room in the Michigan League
https://campusinvolvement.umich.edu/late-night-programs?page=2, 
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
Ann Arbor, MI  48109"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
Office Hours: Monday-Friday, 11am-2pm"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
2202 Pierpont Commons"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
2101 Bonisteel Blvd."
https://campusinvolvement.umich.edu/late-night-programs?page=2,Co-sponsored by the Arab and Muslim American Studies Department
https://campusinvolvement.umich.edu/late-night-programs?page=2, 
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
 "
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
Ann Arbor, MI  48109"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
Office Hours: Monday-Friday, 11am-2pm"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"The popular Mochas and Masterpieces is back with Pop Art Printmaking.  On Wednesday March 30, Ann Arbor Art Center instructors will be teaching students how to do make an Andy Warhol-esque Pop Art Print on your very own canvas tote bags.  Join us in the Michigan Union Wolverine Room from 6:00pm - 8:00pm.  We'll supply the coffee."
https://campusinvolvement.umich.edu/late-night-programs?page=2,"Join CCI for our Business Etiquette Luncheon on Friday, March 25.  Learn the tricks to navigate a business lunch or dinner!  This is an interactive learning lab where attendees can eat and learn while connecting with peers. This Business Etiquette Luncheon will teach specific table Etiquette skills professionals need to understand when presenting themselves in a business setting.  "
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
 "
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
"
